encoded, decoded, type
1256, jacob_aaron_estes, director
1257, liev_schreiber, director
1259, stephen_kessler, director
1261, sandra_werneck, director
1262, jeff_tremaine, director
1264, simon_wincer, director
1265, duwayne_dunham, director
1266, john_cornell, director
1267, troy_duffy, director
1268, _0705655, director
1269, tim_mccanlies, director
1270, james_wan, director
1271, bruce_a_evans, director
1272, richard_schenkman, director
1273, jennifer_flackett, director
1274, david_ayer, director
1275, marcos-siega, director
1277, james_gray, director
1278, luis_llosa, director
1279, jim_abrahams, director
1280, willard_carroll, director
1281, andrew_marton, director
1282, _0401680, director
1283, pontus_lowenhielm, director
1284, sheldon_lettich, director
1285, hal_needham, director
1286, jim_drake, director
1287, thom_eberhardt, director
1288, sidney_poitier, director
1289, steven_brill, director
1290, fraser_heston, director
1291, henry_hathaway, director
1292, _0417691, director
1293, donald_tevey, director
1295, edwin_s_porter, director
1296, guy_ferland, director
1297, arnold_laven, director
1298, edward_lachman, director
1299, john_ford_henry_hathaway, director
1300, pitof, director
1301, delmer_daves, director
1302, lloyd_bacon, director
1303, william_castle, director
1304, chazz_palminteri, director
1305, ken_annakin, director
1306, steve_bendelack, director
1307, stefan_ruzowitzky, director
1308, hermine_huntgeburth, director
1309, tom_vaughan, director
1312, masayuki_suo, director
1314, luc_jacquet, director
1316, sturla_gunnarsson, director
1317, charles_hermanwurmfeld, director
1318, 1006266-paul_gross, director
1319, jeff_balsmeyer, director
1320, mike_mitchell, director
1321, cory_edwards, director
1322, carlos_saldanha, director
1323, steve_pink, director
1325, albert_hughes, director
1326, reginald_hudlin, director
1327, jeff_pollack, director
1328, steve_barron, director
1329, ringo_lam, director
1330, bernard_rose, director
1331, 326391904, director
1332, dennis_rodman, director
1333, jim_kouf, director
1334, mark_pavia, director
1335, tsui_hark, director
1337, dan_aykroyd, director
1338, les_mayfield, director
1339, craig_bolotin, director
1340, newt_arnold, director
1341, christian_duguay, director
1342, boaz_yakin, director
1343, kasi_lemmons, director
1344, deran_sarafian, director
1345, mark_disalle, director
1346, tim_blake_nelson, director
1347, charles-stone-iii, director
1348, charles_stone_iii, director
1349, denzel_washington, director
1350, jonathan_liebesman, director
1351, kantz, director
1352, reggie-rock-bythewood, director
1353, gary_hardwick, director
1354, andrzej_bartkowiak, director
1355, _0637615, director
1356, erik_skjoldbjaerg, director
1357, george_gallo, director
1358, daniel_algrant, director
1359, patrick_gilmore_iii, director
1360, mark_l_lester, director
1361, james-cox, director
1362, michael_tollin, director
1363, danny_pang, director
1364, lauren_lazin, director
1365, arthur_allan_seidelman, director
1366, robert_harmon, director
1367, anderson_paul, director
1368, greg_pak, director
1369, ernest_r_dickerson, director
1370, hideo_nakata, director
1371, jessy_terrero, director
1372, pieter_jan_brugge, director
1373, 1158985-alexander_witt, director
1374, shane_carruth, director
1375, omar_naim, director
1376, mick_garris, director
1377, takashi_miike, director
1378, jeanbaptiste-andrea, director
1379, shion_sono, director
1380, greg-marcks, director
1381, marc_evans, director
1382, 1168219-takashi_shimizu, director
1383, john_maybury, director
1384, kazuaki-kiriya, director
1385, joonho_bong, director
1386, jean_francois_richet, director
1387, john_polson, director
1388, ernie_barbarash, director
1389, andrew_douglas, director
1390, alexander_aja, director
1391, craig_brewer, director
1392, rob_zombie, director
1393, charles_dennis, director
1394, senthil_kumar, director
1395, robert_schwentke, director
1396, darren_lynn_bausman, director
1397, shane_meadows, director
1398, hany-abuassad, director
1400, pierre_morel, director
1401, eli_roth, director
1402, jiarui_zhang, director
1403, 1150240-wayne_kramer, director
1404, brian_robbins, director
1405, doug_atchison, director
1406, james_gunn, director
1407, gil-kenan, director
1408, gabriele_muccino, director
1409, mark_neveldine, director
1410, tony_giglio, director
1411, john_gulager, director
1412, walt_becker, director
1413, juan_carlos_fresnadillo, director
1416, brian_gibson, director
1417, christopher_cain, director
1418, jean_marie_poire, director
1419, joe-alves, director
1420, sammohungkambo, director
1421, robert_iscove, director
1422, david_kellogg, director
1423, 1036363-james_wong, director
1424, stanislaw_bareja, director
1426, juliusz_machulski, director
1427, todd_graff, director
1428, michael_lembeck, director
1429, michael_mayer, director
1430, 1194481-chris_miller, director
1432, gabriel_range, director
1435, jack_sholder, director
1436, ed_decter, director
1437, jesse_dylan, director
1438, jts_moore, director
1439, bille_woodruff, director
1440, mark_cross, director
1441, gerard_krawczyk, director
1442, guy_jenkin, director
1443, david_m_evans, director
1444, bob-babbitt, director
1445, joe_nussbaum, director
1447, walter-salles-jr, director
1448, ziad_doueiri, director
1450, kevin_rodney_sullivan, director
1451, jonas-akerlund, director
1452, martyn_burke, director
1453, jehane_noujaim, director
1454, rob_mckittrick, director
1455, nick_goossen, director
1456, 1168035-dito_montiel, director
1457, greg_mottola, director
1459, gregg_araki, director
1461, jay_chandrasekhar, director
1462, cb-harding, director
1464, jake_kasdan, director
1465, mike_van_diem, director
1466, rene_clair, director
1467, fabian_bielinsky, director
1468, milton_katselas, director
1469, gabriele-salvatores, director
1470, steve_buscemi, director
1471, erik_van_looy, director
1472, hans_weingartner, director
1473, huw_bowen, director
1474, john_carney, director
1475, 1175117-mark_fergus, director
1476, john_august, director
1477, mike_cahill, director
1479, jason_bloom, director
1480, 1178642-jonathan_king, director
1481, hettie_macdonald, director
1482, simon_shore, director
1483, frederic_golchan, director
1484, fatih_akin, director
1485, ventura_pons, director
1486, julie_davis, director
1487, alberto_simone, director
1488, ian_iqbal_rashid, director
1489, marilyn-agrelo, director
1490, jane_anderson, director
1491, kirby_dick, director
1492, davis-guggenheim, director
1493, sara_st_onge, director
1494, vincent_paronnaud, director
1495, paulo-morelli, director
1496, 1180381-john_stevenson, director
1497, adam_mckay, director
1498, david_wain, director
1500, victor_erice, director
1502, brian_henson, director
1503, benjamin-ross, director
1504, tamra_davis, director
1505, darren_doane, director
1506, jrichard_benjamin, director
1507, tinto_brass, director
1508, william_dieterle, director
1509, ate_de_jong, director
1510, tom_berry, director
1511, tony_bancroft, director
1512, john_lafia, director
1513, jack_bender, director
1514, vincent_mceveety, director
1515, igor_kovalyov, director
1516, susan_seidelmun, director
1517, kim_henkel, director
1518, david-price, director
1519, james_dr_hickox, director
1520, 1128440-chris_roberts, director
1521, scott_silver, director
1522, anthony_waller, director
1523, masanori_hata, director
1524, bill_duke, director
1525, gordon_parks, director
1526, 1053132-john_ottman, director
1527, luca_bercovici, director
1528, albert_band, director
1529, joe_berlinger, director
1530, stig_bergqvist, director
1531, po_chih_leong, director
1532, lee_seungryeol, director
1533, jerry-rees, director
1534, harry_elfont, director
1535, allan_arkush, director
1536, sam_firstenberg, director
1537, cedric_sundstrom, director
1538, julian_doyle, director
1539, andreykonchalovskiy, director
1540, victor_salva, director
1541, 1050341-john_davis, director
1542, patrick_read_johnson, director
1543, barry_skolnick, director
1544, bill_kroyer, director
1545, wallace_wolodarsky, director
1546, gregory-dark, director
1547, john_schultz, director
1548, ellory_elkayem, director
1549, 1143611-john_mckay, director
1550, neal_israel, director
1551, wych_kaosayananda, director
1552, kevin_donovan, director
1553, john_r_cherry, director
1554, friz_freleng, director
1555, chris-koch, director
1556, mort_nathan, director
1557, steve_carr, director
1558, john-eng, director
1559, harald_zwart, director
1560, gordon_chan, director
1561, 1055381-audrey_wells, director
1562, david_hillenbrand, director
1563, john_fawcett, director
1564, bo_welch, director
1565, kevin_hooks, director
1566, gavin_oconnor, director
1567, sara_sugarman, director
1568, kevin_allen, director
1569, john_sanford, director
1570, kevin-bray, director
1571, alan_shapiro, director
1572, michael_clancy, director
1573, jaume_balaguero, director
1574, tim_fywell, director
1575, jaume_colletserra, director
1576, paul_moloney, director
1577, mike-bigelow, director
1578, gary_chapman, director
1579, bruce_hunt, director
1580, david_caesar, director
1581, greg_mclean, director
1582, uwe_boll, director
1583, shelly_garrett, director
1584, julian_jarrold, director
1585, jessica_bendinger, director
1586, john_a_davis, director
1587, robin-hardy, director
1588, phil_joanou, director
1589, david_bowers, director
1590, paul_feig, director
1591, corey_yuen, director
1592, paul_j_bolger, director
1593, jason_friedberg, director
1594, chris_rock, director
1595, david_slade, director
1596, colin_strause, director
1597, kent_alterman, director
1598, david_schwimmer, director
1599, 1180768-jimmy_hayward, director
1600, jeff-wadlow, director
1601, jon_hurwitz, director
1602, martin_wood, director
1603, 1185574-chris_carter, director
1604, damian_skinner, director
1607, farhad_mann, director
1608, arne_glimcher, director
1609, david_anspaugh, director
1610, thomas_schlamme, director
1611, andrew_scheinman, director
1612, frank_popper, director
1613, ted-berman, director
1614, brett_leonard, director
1615, david_winning, director
1616, stuart_gillard, director
1617, john_warren, director
1619, lewis_milestone, director
1620, gary_nelson, director
1621, norman_tokar, director
1622, steven_hilliard_stern, director
1623, john-lounsbery, director
1624, selwyn-roberts, director
1625, carl_schultz, director
1626, brenda_chapman, director
1627, jonathan_r_betuel, director
1628, ken_finkleman, director
1629, morgan_j_freeman, director
1630, anthony_perkins, director
1631, chris_smith, director
1632, joel_hopkins, director
1633, jack_nicholson, director
1634, gene_quintano, director
1635, stephen_surjik, director
1636, paul_flaherty, director
1637, luis_valdez, director
1638, matt_williams, director
1639, 1041466-richard_franklin, director
1640, otto_preminger, director
1641, jenniphr_goodman, director
1642, craig_mazin, director
1643, chia-liang-liu, director
1644, hiroshi_nishikiori, director
1645, mark_robson, director
1646, kristine_peterson, director
1647, eddie_murphy, director
1648, buddy_van_horn, director
1649, rowdy_herrington, director
1650, buzz_kulik, director
1651, ralph_nelson, director
1652, jack_smight, director
1653, 1041374-james_fargo, director
1654, john_lee_hancock, director
1655, amol-shetge, director
1656, rudy_de_luca, director
1657, jill_sprecher, director
1658, gordon_douglas, director
1659, daniel_mann, director
1660, perry-andelin-blake, director
1661, desmond_davis, director
1662, william_wiard, director
1663, howard_r_cohen, director
1664, john_cromwell, director
1665, 1041609-michael_gordon, director
1666, lee_h_katzin, director
1667, charles_walters, director
1668, don_coscarelli, director
1669, charles_laughton, director
1670, menahem_golan, director
1671, bill_murray, director
1672, edmund_goulding, director
1673, william_wellman, director
1674, stuart_heisler, director
1675, jesus_salvador_trevino, director
1676, burt_kennedy, director
1677, ron_oliver, director
1678, archie_mayo, director
1679, adam-rifkin, director
1680, ondrej_trojan, director
1681, alex_gibney, director
1682, wil_shriner, director
1683, jeanpierre_melville, director
1684, ericson-core, director
1685, alex_kendrick, director
1686, michael_polish, director
1687, michael-o-sajbel, director
1688, jon_poll, director
1689, doug_lefler, director
1690, david_kim, director
1691, david-sington, director
1692, andy_fickman, director
1693, anton_corbijn, director
1694, amir-bar-lev, director
1695, 1175254-zach_helm, director
1696, andrew_wagner, director
1697, felix_enriquez_alcala, director
1698, sergei-bodrov, director
1700, melisa_wallack, director
1701, joshua_seftel, director
1702, phyllida_lloyd, director
1703, ellen_ten_damme, director
1704, dave-filoni, director
1706, jean_renoir, director
1707, catherine_hardwicke, director
1709, bonnie_hunt, director
1710, robert_townsend, director
1711, samuel_fuller, director
1712, george_sherman, director
1714, rusty_cundieff, director
1715, barry_blaustein, director
1716, damien_odonnell, director
1718, daniel_minahan, director
1719, franc_roddam, director
1720, doug_pray, director
1721, jay_sandrich, director
1722, 1028855-david_butler, director
1723, craig_mccracken, director
1724, john_stainton, director
1725, richard_lagravenese, director
1726, jim_fall, director
1727, jean_xavier_de_lestrade, director
1728, victor_heerman, director
1729, gough_lewis, director
1730, damon_santostefano, director
1731, mary_cybulski, director
1732, jacques_audiard, director
1733, ryan_murphy, director
1734, chris_bell, director
1735, matteo_garrone, director
1737, matt-busch, director
1739, 1176587-larry_clark, director
1740, peter_medak, director
1741, maciej-dutkiewicz, director
1742, charles_martin_smith, director
1743, abel_ferrara, director
1744, peter_ofallon, director
1745, risa_bramon_garcia, director
1746, james_merendino, director
1747, alfred-sole, director
1748, jonathan_glazer, director
1749, _0813583, director
1750, mikael_salomon, director
1751, 1185571-robert_cuffley, director
1752, bill_cosby, director
1753, fax_bahr, director
1754, moises_kaufman, director
1755, robert_shaye, director
1757, gerald_potterton, director
1758, rick_friedberg, director
1759, joe_chappelle, director
1760, joseph_zito, director
1761, tom_mcloughlin, director
1762, john_carl_buechler, director
1763, rob_hedden, director
1764, rick-rosenthal, director
1765, fritz_kiersch, director
1766, chuck_parello, director
1767, john_mcnaughton, director
1768, daniel_davis_edward_d_wood_jr, director
1769, ulli_lommel, director
1770, brett_c_leonard, director
1771, edward_wood, director
1772, lloyd_kaufman, director
1773, boaz_davidson, director
1774, tony_randel, director
1775, jack_arnold, director
1776, louis_ck, director
1777, dan_obannon, director
1778, blair-hayes, director
1779, elie_chouraqui, director
1780, jan_sverak, director
1781, peter_mullan, director
1782, edward_burns, director
1783, peter-clifton, director
1784, william_butler, director
1785, hector_babenco, director
1786, ss_wilson, director
1787, christoffer-boe, director
1788, pekka_parikka, director
1789, paul_abascal, director
1790, adam_marcus, director
1791, shainee_gabel, director
1792, bent_hamer, director
1793, julien_duvivier, director
1795, leon_gast, director
1796, art_linson, director
1797, roy_rowland, director
1798, karel_reisz, director
1799, michael_wadleigh, director
1800, john_cassavetes, director
1801, dan-ollman, director
1802, judy_irving, director
1803, don_michael_paul, director
1805, michael_pressman, director
1807, mina_shum, director
1809, preston_sturges, director
1810, jamie-babbit, director
1811, zhang_yang, director
1812, veit_helmer, director
1813, ismail_merchant, director
1814, raja_amari, director
1815, cedric_klapisch, director
1816, deepa-mehta, director
1817, doris_doerrie, director
1818, emile_gaudreault, director
1819, ashutosh_gowariker, director
1820, nathaniel_kahn, director
1822, fred_c_newmeyer, director
1823, laurent_firode, director
1824, carlos_diegues, director
1825, alice_wu, director
1826, niall_johnson, director
1827, pierre_salvadori, director
1828, hsiaohsien_hou, director
1829, alain_berliner, director
1830, david_breashears, director
1831, clint_cowen, director
1832, jay_russell, director
1833, george_stevens, director
1834, nick_hurran, director
1835, gregory_jacobs, director
1836, anand_tucker, director
1837, liz-friedlander, director
1838, greg_coolidge, director
1839, joby_harold, director
1840, michael_mccullers, director
1841, boris_sagal, director
1842, michael_schorr, director
1845, tomas_gutierrez_alea, director
1847, james_clavell, director
1848, agnes_jaoui, director
1849, andrucha_waddington, director
1850, lam_fookdei, director
1851, percy_adlon, director
1852, silvio_soldini, director
1853, edouard_molinaro, director
1854, andrei_kavun, director
1855, lone_scherfig, director
1856, lieven_debrauwer, director
1857, todd_louiso, director
1858, peter_sollett, director
1859, john_malkovich, director
1860, fernando_leon_de_aranoa, director
1861, felipe_lacerda, director
1862, 1066196-rodrigo_garcia, director
1863, luis_estrada, director
1864, tran-anh-hung, director
1866, gerardo-vera, director
1867, joshua-marston, director
1869, dermot_boyd, director
1870, christian_gonzalez, director
1871, 1185012-cao_hamburger, director
1872, alejandro_gomez_monteverde, director
1874, burr_steers, director
1875, steve_anderson_v, director
1877, david_nutter, director
1878, john_bruno, director
1879, aluisio_abranches, director
1880, william_malone, director
1881, stephen_carpenter, director
1882, jim_sonzero, director
1883, william_brent_bell, director
1885, 1053511-steve_james, director
1886, whit_stillman, director
1887, max_faerberboeck, director
1888, bruce_paltrow, director
1889, _0872823, director
1890, marziyeh-meshkin, director
1891, jafar_panahi, director
1892, jennifer_jason_leigh, director
1893, scott_mcgehee, director
1894, 1051480-david_sutherland, director
1895, carlos_carrera, director
1896, kwontaek_im, director
1897, christine_jeffs, director
1898, sue_brooks, director
1899, siddiq_barmak, director
1901, tod_williams, director
1902, istvan_szabo, director
1904, philip_haas, director
1905, rodney_gibbons, director
1906, douglas-keeve, director
1907, evelyn_purcell, director
1908, patrice_chereau, director
1909, kaige_chen, director
1910, lawrence_l_simeone, director
1911, sally_potter, director
1912, _1264352, director
1913, mats_bigert, director
1914, steven-baigelman, director
1915, robert_singer, director
1916, trevor_nunn, director
1917, mark_sandrich, director
1918, gregory_la_cava, director
1919, ws_van_dyke, director
1920, john_hough, director
1921, alfred_l_werker, director
1922, peter_greenaway, director
1923, jennie-livingston, director
1924, susan_streitfeld, director
1925, antonio_margheriti, director
1926, mitchell-altieri, director
1927, barbara_streisand, director
1928, _0001949, director
1929, gordon_hessler, director
1930, 1054857-peter_duncan, director
1931, caroline_thompson, director
1932, tony_vitale, director
1933, thom_fitzgerald, director
1934, william_peter_blatty, director
1935, liliana_cavani, director
1936, jack_clayton, director
1937, john_de_bello, director
1938, madison_monroe, director
1939, robert_siodmak, director
1940, george_waggner, director
1941, francis_veber, director
1942, robert_towne, director
1943, bruce_mcculloch, director
1944, mervyn_leroy, director
1945, charley_rogers, director
1946, aviva-kempner, director
1947, george_sidney, director
1948, 1042400-george_marshall, director
1949, alex_winter, director
1950, david_macdonald, director
1951, george_fitzmaurice, director
1952, richard_quine, director
1953, jon_jost, director
1954, steve_mcqueen_iii, director
1955, john-swanbeck, director
1956, 1009699-bill_maher, director
1957, miguel_arteta, director
1958, stan_winston, director
1959, lionel-coleman, director
1960, fenton_bailey, director
1961, ray_kellogg, director
1962, maggie_greenwald, director
1963, dominik_mol, director
1964, john-flynn, director
1965, alan_rudolph, director
1966, carl_schenkel, director
1967, allan_dwan, director
1968, agnes_varda, director
1969, jean_negulesco, director
1970, 1088175-martin_donovan, director
1971, joan_micklin_silver, director
1972, james_signorelli, director
1973, stuart_burge, director
1974, yuen_woping, director
1975, irving_rapper, director
1976, ray_lawrence, director
1977, robert_moore, director
1978, james_lapine, director
1979, douglas_day_stewart, director
1980, zacharias_kunuk, director
1981, nicole_holofcener, director
1982, sandra_nettelbeck, director
1983, claude_miller, director
1984, terence_fisher, director
1985, bryan_forbes, director
1986, patricia_cardoso, director
1987, robert_greenwald, director
1988, claire_denis, director
1989, paul_bartel, director
1990, claude_chabrol, director
1991, slava_tsukerman, director
1992, caroline_link, director
1993, glen_morgan, director
1994, jacques_perrin, director
1995, guy_maddin, director
1996, shinsuke_sato, director
1997, emilio_martinez_lazaro, director
1998, charles_t_kanganis, director
1999, philippe_de_broca, director
2000, paolo_barzman, director
2001, ralph_bakshi, director
2002, larry_blamire, director
2003, william_crain, director
2004, albert_parker, director
2005, syd_macartney, director
2006, _0532467, director
2007, ellen_hovde, director
2008, irving_pichel, director
2009, thomas_bentley, director
2010, 1061981-bill_clinton, director
2011, lewis_allen, director
2012, buster-keaton-jr, director
2013, garson_kanin, director
2015, matthew_parkhill, director
2016, sue-kramer, director
2017, 1174987-andrew_currie, director
2018, jeremy_brock, director
2020, pavel_lungin, director
2021, bob_gale, director
2022, pavel_chukhraj, director
2023, ping_he, director
2024, enki-bilal, director
2025, lawrence_guterman, director
2026, roger_allers, director
2027, kevin_munroe, director
2028, 1029950-michael_davis, director
2029, christopher_warre_smets, director
2030, noam_murro, director
2032, mark_rydell, director
2033, wei_lo, director
2034, steven_m_martin, director
2035, william_lustig, director
2036, paul_bogart, director
2037, juan_jose_campanella, director
2038, arthur_lubin, director
2039, laetitia_colombani, director
2040, yasujiro_ozu, director
2041, bernard_l_kowalski, director
2042, jerry_lewis, director
2043, frank_tashlin, director
2044, hiroyuki_morita, director
2045, jun_fukuda, director
2047, christopher_hampton, director
2048, paris-barclay, director
2049, marek_koterski, director
2050, andrew_sipes, director
2051, allison_anders, director
2052, jennifer-lynch, director
2053, alek-keshishian, director
2054, stuart_orme, director
2055, yukihiko_tsutsumi, director
2056, ryan_parrott, director
2057, martin_lawrence, director
2058, alan_mehrez, director
2059, george_scribner, director
2060, michele_soavi, director
2061, john_herzfeld, director
2062, 1041635-john_gray, director
2063, matthew_bright, director
2064, sam_henry_kass, director
2065, brian_yuzna, director
2066, martine_dugowson, director
2067, john_murlowski, director
2068, hans_peter_moland, director
2069, dan_ireland, director
2070, andre_techine, director
2071, robert_butler, director
2072, jacques_doillon, director
2073, kumkum_bhavnani, director
2074, mark_dippe, director
2075, lionel_c_martin, director
2076, shinya_tsukamoto, director
2077, stephen_gyllenhaal, director
2078, ice_cube, director
2079, kirk_wong, director
2080, gary_a_sherman, director
2081, theresa_connelly, director
2082, michael_tolkin, director
2083, bill_plympton, director
2084, john-pieplow, director
2085, marc_levin, director
2086, chris_walas, director
2087, norman_mailer, director
2088, 1078733-mark_tarlov, director
2089, darren_stein, director
2090, marshall_herskovitz, director
2091, vince-clark, director
2092, jennifer_baichwal, director
2093, rob_sitch, director
2094, 1136788-daniel_lee, director
2095, _0122428, director
2096, rick_famuyiwa, director
2097, _0417794, director
2098, kevin_williamson, director
2099, nanette_burstein, director
2100, michael_corrente, director
2101, jackie_chan, director
2102, mark_illsley, director
2103, radu_mihaileanu, director
2104, stuart_gordon, director
2105, bruce_malmuth, director
2106, ken_wiederhorn, director
2107, katt_shea, director
2108, edward_buzzell, director
2109, khyentse_norbu, director
2111, andre_bonzel, director
2112, eric_blakeney, director
2113, 1196862-nick_gomez, director
2114, regis_wargnier, director
2115, ellen_kuras, director
2116, michael_winner, director
2117, rene_laloux, director
2118, bruce_brown, director
2119, joe_camp, director
2120, lance_hool, director
2121, berit_nesheim, director
2122, robert_lee_king, director
2123, frederic_fonteyne, director
2124, gerard_stembridge, director
2125, christopher_mcquarrie, director
2126, jon_shear, director
2127, edward-cline, director
2128, raymond_de_felitta, director
2129, _0497934, director
2130, _0619944, director
2131, amos_poe, director
2132, andrea_meyerson, director
2133, james_b_rogers, director
2134, david_shapiro, director
2135, bill_eagles, director
2136, 1129369-tom_green, director
2137, chris_nahon, director
2138, coralie, director
2139, val_guest, director
2140, charles_cozart, director
2141, bruce_lee, director
2142, bruno_nuytten, director
2143, bob_radler, director
2144, kevin_bacon, director
2145, steve_de_jarnatt, director
2146, 1055580-mark_brown, director
2147, dan_cohen, director
2148, bob-giraldi, director
2149, kenneth_a_carlson, director
2150, christine_lahti, director
2151, dj_pooh, director
2152, david_atkins, director
2153, brendan-malloy, director
2154, roy_william_neill, director
2155, gary_burns, director
2156, richard_pryor, director
2157, robin_budd, director
2158, tom_gries, director
2159, alan_taylor, director
2160, james_toback, director
2161, emilio_estevez, director
2162, jesse_vaughan, director
2163, josh_roybal, director
2164, dennis-iliadis, director
2165, eugene_jarecki, director
2166, christian-charles, director
2167, aleksandrsokurov, director
2168, rainer_werner_fassbinder, director
2169, amy_ziering_kofman, director
2170, jeonghyang_lee, director
2171, marcus_raboy, director
2172, santosh_sivan, director
2173, edward_james_olmos, director
2174, lucky_mckee, director
2175, joe_layton, director
2176, gregory_mars_martin, director
2177, mark_moskowitz, director
2178, tae-gyun-kim, director
2179, austin_chick, director
2180, angela_christlieb, director
2181, fernando_trueba, director
2182, aleksandr_rogozhkin, director
2183, david_webb_peoples, director
2184, dana_brown, director
2185, eric_rohmer, director
2186, agustin_diaz_yanes, director
2187, nicolas_philibert, director
2188, 1058590-david_leland, director
2189, asif_kapadia, director
2190, neema_barnette, director
2191, aaron_lubarsky, director
2192, bob_odenkirk, director
2193, george_butler, director
2194, francois_dupeyron, director
2195, john-walter, director
2196, albert_maysles, director
2197, michael_davis_ii, director
2198, roko_belic, director
2199, yu_wang, director
2200, hiroyuki_nakano, director
2201, marc_singer_ii, director
2202, jegyu_kang, director
2203, jean_francois_pouliot, director
2204, per-fly, director
2205, hiroyuki_okiura, director
2206, cy_howard, director
2207, sung_su_kim, director
2208, jamie_johnson, director
2209, sherm_cohen, director
2210, hiroshi_inagaki, director
2211, alejandro_jodorowsky, director
2212, saul_metzstein, director
2213, ondi_timoner, director
2214, stacy_peralta, director
2215, jessica_yu, director
2216, bronwen_hughes, director
2217, jacques_becker, director
2218, _0198790, director
2219, darren_grant, director
2220, frederic_back, director
2221, thomas__vinterberg, director
2222, pietro_germi, director
2223, michael_mcgowan, director
2224, 1164053-david_lachapelle, director
2225, nahala_johnson, director
2226, john_hillcoat, director
2227, oliver_jongerlynck, director
2228, sarah-watt, director
2229, deepa_mehta, director
2230, espen_sandberg, director
2231, amir_valina, director
2232, adam-rapp, director
2233, 770910609, director
2234, rupert_murray, director
2235, chris_robinson_iv, director
2236, christian_volckman, director
2237, christopher_smith, director
2238, allen_coulter, director
2239, alexander_korda, director
2240, john_bonito, director
2241, amy-berg, director
2242, david-leaf, director
2243, 1187686-michel_hazanavicius, director
2244, ali-selim, director
2245, michael_katleman, director
2246, 1172948-robert_wilson, director
2247, susannah_grant, director
2248, 1105657-katja_von_garnier, director
2249, olivier_assayas, director
2250, robert_ben_garant, director
2251, ari_libsker, director
2252, ash-brannon, director
2253, james_isaac, director
2254, charles_ferguson, director
2255, mark_helfrich, director
2256, robin_swicord, director
2257, frank_a_cappello, director
2258, marcello_thedford, director
2259, michael_ian_black, director
2260, adam_brooks, director
2261, marco_schnabel, director
2262, ira_sachs, director
2263, morgan_spurlock, director
2264, joachim_trier, director
2265, 1184531-stephen_walker, director
2266, aaron-woolf, director
2267, john_crowley, director
2268, patricia_rozema, director
2269, yung_chang, director
2270, scott_prendergast, director
2271, _0006846, director
2272, 1171929-james_marsh, director
2273, larry_bishop, director
2274, kenji_misumi, director
2277, pierre_boutron, director
2278, jacques_tourneur, director
2279, anton_leader, director
2280, matt_dillon, director
2281, george_pollock, director
2282, brian_desmond_hurst, director
2283, hubert_cornfield, director
2284, bill_melendez, director
2285, _0838374, director
2286, ed_harris, director
2288, milcho_manchevski, director
2290, billy_crystal, director
2291, aaron_matthews, director
2292, stephen_king, director
2293, 1105876-mark_christopher, director
2294, peter_kassovitz, director
2295, zalman_king, director
2296, james_komack, director
2297, norman_rene, director
2298, ethan_hawke, director
2299, conan_le_cilaire, director
2300, william_a_graham, director
2301, baltasar_kormakur, director
2304, mary_mcguckian, director
2305, marc_rothemund, director
2306, mat-whitecross, director
2307, billy-kent, director
2308, douglas_mcgrath, director
2309, theo-angelopoulos, director
2310, sean_ellis, director
2312, dave_thomas, director
2313, greg_pritikin, director
2314, david_swift, director
2316, sara_botsford, director
2317, _0389514, director
2318, lou_adler, director
2319, bob_saget, director
2320, robert_klane, director
2321, rob_pritts, director
2322, hert_bochner, director
2324, 1080722-richard_martin, director
2325, kris_isacsson, director
2326, daniel_stern, director
2327, sandra_goldbacher, director
2328, _0504297, director
2333, lee_david_zlotoff, director
2334, madonna, director
2335, maria_maggenti, director
2336, david_decoteau, director
2337, ivan_passer, director
2338, james_d_stern, director
2339, joe_charbanic, director
2340, neil_turitz, director
2341, joel_hershman, director
2342, jay_levey, director
2343, michael_cuesta, director
2344, timothy_linh_bui, director
2345, robert_guenette, director
2346, _0174903, director
2347, franc-reyes, director
2348, david_drury, director
2349, 1162568-scott_roberts, director
2350, nick_willing, director
2351, eric_till, director
2352, nicholas_winding_refn, director
2353, andy_richter, director
2354, basil_dearden, director
2355, skip_woods, director
2356, stephen_fry, director
2357, adam_del_deo, director
2358, scott_wiper, director
2360, chris_delaporte, director
2361, todd_holland_ii, director
2364, marco_ferreri, director
2365, randall_miller, director
2366, anne_goursaud, director
2367, udayan_prasad, director
2368, scott_alexander, director
2369, bill-fishman, director
2370, david_raynr, director
2371, michael_campus, director
2372, lisa_gottlieb, director
2373, yash_chopra, director
2374, michael_cristofer, director
2375, karan_johar, director
2376, barbara_kopple, director
2377, 1173408-billy_corben, director
2379, craig_r_baxley, director
2380, robert_fuest, director
2381, bj_alexander, director
2382, ernest_b_schoedsack, director
2384, christian_frei, director
2385, tomas-alfredson, director
2389, mario_van_peebles, director
2390, _0754328, director
2391, colin_nutley, director
2392, trish-doolan, director
2393, zoe_r_cassavetes, director
2394, jeff_lowell, director
2395, jon_chu, director
2397, godfrey_reggio, director
2398, paul_sletaune, director
2401, jodie_foster, director
2402, john_blair, director
2403, max-ophuls, director
2404, melanie_mayron, director
2405, adam_resnick, director
2406, pixote-hunt, director
2407, larry_leker, director
2408, john_payson, director
2409, harry_winer, director
2410, roy_allen_smith, director
2411, greg_spence, director
2412, nelson_mccormick, director
2413, toby_shelton, director
2414, phil_nibbelink, director
2415, ethan_wiley, director
2416, dave_fleischer, director
2417, martin_davidson, director
2418, anthony_hickox, director
